Basketball Player,Basketball team,Age,Height,Home country,college_1,college_1_start_year,college_1_end_year,college_2,college_2_start_year,college_2_end_year,college_3,college_3_start_year,college_3_end_year
Vanloo Julie,"Golden State Valkyries
Los Angeles Sparks",32,1.71,Belgium,,,,,,,,,
Walker-Kimbrough Shatori,Atlanta Dream,30,1.8,United States,University of Maryland,2013,2016,,,,,,
Westbeld Maddy,Chicago Sky,23,1.91,United States,University of Notre Dame,2020,2024,,,,,,
Westbeld Kathryn,Phoenix Mercury,29,1.91,United States,University of Notre Dame,2014,2017,,,,,,
Wheeler Erica,Seattle Storm,34,1.7,United States,Rutgers University,2009,2012,,,,,,
Whitcomb Samantha,Phoenix Mercury,36,1.78,"United States, Australia",University of Washington,2006,2009,,,,,,
Williams Elizabeth,Chicago Sky,32,1.91,United States,Duke University,2011,2014,,,,,,
Williams Courtney,Minnesota Lynx,31,1.73,United States,South Florida University,2012,2015,,,,,,
Williams Kiana,Phoenix Mercury,26,1.73,United States,Stanford University,2017,2020,,,,,,
Williams Gabby,Seattle Storm,28,1.8,"United States, France",UConn,2014,2017,,,,,,
Wilson A’ja,Las Vegas Aces,28,1.93,United States,University of South Carolina,2014,2017,,,,,,
Young Jackie,Las Vegas Aces,27,1.83,United States,University of Notre Dame,2016,2018,,,,,,
Zandalasini Cecilia,Golden State Valkyries,29,1.88,Italy,,,,,,,,,
